"Territory","siteid","Year","yearid","MaxFledged","Age","jday_away","Occupied","NestlingID","Survival","age_sc","jday_away_sc"
"#8 FENCE",1,2022,1,NA,NA,-14,0,1,0,0,-1.59804169255765
"#8 FENCE",1,2023,2,NA,NA,-16,0,1,0,0,-1.678182881556
"B-1",2,2022,1,NA,NA,17,1,1,0,0,-0.355853263083212
"B-1",2,2023,2,NA,NA,-15,0,1,0,0,-1.63811228705682
"B-1",2,2024,3,2,28,28,1,1,1,-0.0729963318149885,0.0849232764077174
"B-1",2,2024,3,2,28,28,1,2,1,-0.0729963318149885,0.0849232764077174
"BAHIA (W)",3,2022,1,NA,NA,23,1,1,0,0,-0.11542969608816
"BAHIA (W)",3,2023,2,NA,NA,70,0,1,0,0,1.76788824537308
"BAHIA (W)",3,2024,3,NA,NA,-14,0,1,0,0,-1.59804169255765
"BAYSIDE LOOP",4,2022,1,NA,NA,28,1,1,0,0,0.0849232764077174
"BAYSIDE LOOP",4,2023,2,NA,NA,21,1,1,0,0,-0.19557088508651
"BAYSIDE LOOP",4,2024,3,NA,NA,38,1,1,0,0,0.485629221399471
"BOATHOUSE",5,2023,2,NA,NA,-15,0,1,0,0,-1.63811228705682
"BOATHOUSE",5,2024,3,NA,NA,-2,0,1,0,0,-1.11719455856754
"BOCA CHICA (E)",6,2022,1,NA,NA,22,0,1,0,0,-0.155500290587335
"BOCA CHICA (E)",6,2023,2,NA,NA,-17,1,1,0,0,-1.71825347605518
"BOCA CHICA (E)",6,2024,3,3,NA,39,1,1,1,0,0.525699815898647
"BOCA CHICA (E)",6,2024,3,3,NA,39,1,2,1,0,0.525699815898647
"BOCA CHICA (E)",6,2024,3,3,NA,39,1,3,1,0,0.525699815898647
"BOCA CHICA (W)",7,2022,1,2,28,44,1,1,1,-0.0729963318149885,0.726052788394524
"BOCA CHICA (W)",7,2022,1,2,28,44,1,2,1,-0.0729963318149885,0.726052788394524
"BOCA CHICA (W)",7,2023,2,NA,NA,-17,0,1,0,0,-1.71825347605518
"BOCA CHICA (W)",7,2024,3,NA,NA,39,0,1,0,0,0.525699815898647
"BORDER PATROL",8,2022,1,NA,NA,-9,0,1,0,0,-1.39768872006177
"BORDER PATROL",8,2024,3,NA,NA,39,0,1,0,0,0.525699815898647
"BORRACHO",9,2022,1,NA,NA,42,1,1,NA,0,0.645911599396173
"BORRACHO",9,2023,2,3,NA,47,1,1,1,0,0.84626457189205
"BORRACHO",9,2023,2,3,NA,47,1,2,1,0,0.84626457189205
"BORRACHO",9,2023,2,3,NA,47,1,3,1,0,0.84626457189205
"BORRACHO",9,2024,3,NA,NA,-1,0,1,0,0,-1.07712396406837
"CACTUS CREEK",10,2022,1,NA,NA,-16,0,1,0,0,-1.678182881556
"CACTUS CREEK",10,2023,2,NA,NA,26,0,1,0,0,0.00478208740936662
"CACTUS CREEK",10,2024,3,NA,NA,40,0,1,0,0,0.565770410397822
"CATTLE GUARD",11,2022,1,NA,NA,-11,0,1,0,0,-1.47782990906012
"CATTLE GUARD",11,2023,2,NA,NA,18,0,1,0,0,-0.315782668584036
"CATTLE GUARD",11,2024,3,NA,NA,-2,0,1,0,0,-1.11719455856754
"CAYO ATASCOSO",12,2022,1,NA,NA,-16,0,1,0,0,-1.678182881556
"CAYO ATASCOSO",12,2023,2,NA,NA,-4,0,1,0,0,-1.1973357475659
"CAYO ATASCOSO",12,2024,3,NA,NA,57,1,1,0,0,1.2469705168838
"CROSSING 2",13,2022,1,2,29,28,1,1,1,0.140778639928907,0.0849232764077174
"CROSSING 2",13,2022,1,2,29,28,1,2,1,0.140778639928907,0.0849232764077174
"CROSSING 2",13,2023,2,2,29,29,1,1,1,0.140778639928907,0.124993870906893
"CROSSING 2",13,2023,2,2,29,29,1,2,1,0.140778639928907,0.124993870906893
"CROSSING 2",13,2024,3,NA,NA,57,1,1,NA,0,1.2469705168838
"CROSSING 2",13,2024,3,NA,NA,57,1,2,NA,0,1.2469705168838
"D-35",14,2022,1,NA,NA,17,0,1,0,0,-0.355853263083212
"D-35",14,2023,2,NA,NA,76,1,1,0,0,2.00831181236814
"D-35",14,2024,3,NA,22,28,1,1,NA,-1.35564616227836,0.0849232764077174
"D-35",14,2024,3,NA,22,28,1,2,NA,-1.35564616227836,0.0849232764077174
"D-35",14,2024,3,NA,22,28,1,3,NA,-1.35564616227836,0.0849232764077174
"D-39",15,2022,1,2,31,24,1,1,1,0.568328583416699,-0.0753591015889842
"D-39",15,2022,1,2,31,24,1,2,1,0.568328583416699,-0.0753591015889842
"D-39",15,2023,2,NA,NA,76,1,1,0,0,2.00831181236814
"D-39",15,2024,3,NA,16,28,1,1,NA,-2.63829599274174,0.0849232764077174
"D-39",15,2024,3,NA,16,28,1,2,NA,-2.63829599274174,0.0849232764077174
"D-44",16,2022,1,2,30,24,1,1,1,0.354553611672803,-0.0753591015889842
"D-44",16,2022,1,2,30,24,1,2,1,0.354553611672803,-0.0753591015889842
"D-44",16,2023,2,1,25,32,1,1,1,-0.714321247046676,0.245205654404419
"D-44",16,2024,3,3,28,28,1,1,1,-0.0729963318149885,0.0849232764077174
"D-44",16,2024,3,3,28,28,1,2,1,-0.0729963318149885,0.0849232764077174
"D-44",16,2024,3,3,28,28,1,3,1,-0.0729963318149885,0.0849232764077174
"EAST FOUNDATION (N)",17,2022,1,NA,NA,-7,0,1,0,0,-1.31754753106342
"EAST FOUNDATION (N)",17,2023,2,NA,NA,70,0,1,0,0,1.76788824537308
"EAST FOUNDATION (N)",17,2024,3,NA,NA,-8,0,1,0,0,-1.3576181255626
"EAST FOUNDATION (S)",18,2022,1,NA,NA,-7,0,1,0,0,-1.31754753106342
"EAST FOUNDATION (S)",18,2023,2,NA,NA,70,0,1,0,0,1.76788824537308
"EAST FOUNDATION (S)",18,2024,3,NA,NA,-8,0,1,0,0,-1.3576181255626
"EL SAUZ",19,2022,1,NA,NA,-7,0,1,0,0,-1.31754753106342
"EL SAUZ",19,2023,2,NA,NA,-1,0,1,0,0,-1.07712396406837
"EL SAUZ",19,2024,3,NA,NA,43,1,1,0,0,0.685982193895348
"FM 106",20,2022,1,NA,NA,21,1,1,0,0,-0.19557088508651
"FM 106",20,2023,2,NA,NA,70,1,1,0,0,1.76788824537308
"FM 106",20,2024,3,NA,NA,-7,1,1,0,0,-1.31754753106342
"GOOSE FLATS",21,2022,1,NA,NA,-19,0,1,0,0,-1.79839466505353
"GOOSE FLATS",21,2023,2,NA,NA,70,0,1,0,0,1.76788824537308
"GOOSE FLATS",21,2024,3,NA,NA,-16,0,1,0,0,-1.678182881556
"GOOSE HOLE",22,2022,1,NA,NA,-14,0,1,0,0,-1.59804169255765
"GOOSE HOLE",22,2023,2,NA,NA,-16,0,1,0,0,-1.678182881556
"HAUS CORRAL",23,2022,1,1,NA,39,1,1,1,0,0.525699815898647
"HAUS CORRAL",23,2023,2,1,NA,76,1,1,1,0,2.00831181236814
"HAUS CORRAL",23,2023,2,1,NA,76,1,2,0,0,2.00831181236814
"HAUS CORRAL",23,2024,3,2,26,28,1,1,1,-0.50054627530278,0.0849232764077174
"HAUS CORRAL",23,2024,3,2,26,28,1,2,1,-0.50054627530278,0.0849232764077174
"HAUS CORRAL",23,2024,3,2,26,28,1,3,0,-0.50054627530278,0.0849232764077174
"HEADQUARTERS",24,2022,1,NA,NA,24,1,1,0,0,-0.0753591015889842
"HEADQUARTERS",24,2023,2,NA,NA,76,1,1,NA,0,2.00831181236814
"HEADQUARTERS",24,2024,3,3,27,28,1,1,1,-0.286771303558884,0.0849232764077174
"HEADQUARTERS",24,2024,3,3,27,28,1,2,1,-0.286771303558884,0.0849232764077174
"HEADQUARTERS",24,2024,3,3,27,28,1,3,1,-0.286771303558884,0.0849232764077174
"HIGHWAY 4",25,2022,1,NA,NA,22,0,1,0,0,-0.155500290587335
"HIGHWAY 4",25,2023,2,NA,23,40,1,1,NA,-1.14187119053447,0.565770410397822
"HIGHWAY 4",25,2023,2,NA,23,40,1,2,NA,-1.14187119053447,0.565770410397822
"HIGHWAY 4",25,2023,2,NA,23,40,1,3,NA,-1.14187119053447,0.565770410397822
"HIGHWAY 4",25,2024,3,NA,NA,36,0,1,0,0,0.405488032401121
"HIGHWAY 48",26,2024,3,NA,NA,42,0,1,0,0,0.645911599396173
"LA CLINICA",27,2022,1,NA,NA,-9,0,1,0,0,-1.39768872006177
"LA CLINICA",27,2023,2,NA,NA,29,1,1,0,0,0.124993870906893
"LAST WINDMILL",28,2022,1,NA,NA,-14,0,1,0,0,-1.59804169255765
"LAST WINDMILL",28,2023,2,NA,NA,-16,0,1,0,0,-1.678182881556
"LIGHTHOUSE",29,2022,1,2,32,39,1,1,1,0.782103555160595,0.525699815898647
"LIGHTHOUSE",29,2022,1,2,32,39,1,2,1,0.782103555160595,0.525699815898647
"LIGHTHOUSE",29,2022,1,2,32,39,1,3,0,0.782103555160595,0.525699815898647
"LIGHTHOUSE",29,2023,2,NA,NA,18,0,1,0,0,-0.315782668584036
"LIGHTHOUSE",29,2024,3,NA,NA,28,1,1,NA,0,0.0849232764077174
"LIGHTHOUSE",29,2024,3,NA,NA,28,1,2,NA,0,0.0849232764077174
"LIGHTHOUSE (N)",30,2022,1,NA,NA,24,0,1,0,0,-0.0753591015889842
"LIGHTHOUSE (N)",30,2023,2,NA,NA,76,0,1,0,0,2.00831181236814
"LIGHTHOUSE (N)",30,2024,3,NA,NA,-2,0,1,0,0,-1.11719455856754
