"Date","Territory","Eggs","Young","Fledged","Banded","Total_Obs_Num","Notes","Year","jday","MaxNestlings","Addled","Occupied","jday_peak","jday_away","row_num","n_rows","mean_band_age","jday.hatched","nest_age","siteid","yearid","jday_away_sc","nest_age_sc"
"2022-04-25","#8 FENCE",NA,NA,NA,NA,"0","",2022,115,NA,"No",0,129,-14,1,1,NA,NA,NA,1,1,-1.02402694543006,NA
"2023-04-19","#8 FENCE",NA,NA,NA,NA,"0","",2023,109,NA,"No",0,125,-16,1,1,NA,NA,NA,1,2,-1.10777431730936,NA
"2022-04-28","B-1",NA,NA,NA,NA,"1","Male right: 804-17590, male left: black 5/2. Floater male?",2022,118,NA,"No",1,129,-11,1,2,NA,NA,NA,2,1,-0.898405887611107,NA
"2022-05-26","B-1",NA,NA,NA,NA,"0","",2022,146,NA,"No",0,129,17,2,2,NA,NA,NA,2,1,0.274057318699115,NA
"2023-04-20","B-1",NA,NA,NA,NA,"0","",2023,110,NA,"No",0,125,-15,1,1,NA,NA,NA,2,2,-1.06590063136971,NA
"2024-04-30","B-1",NA,NA,NA,NA,"2","",2024,121,NA,"No",1,123,-2,1,3,NA,NA,-2,2,3,-0.52154271415425,-0.75646669253596
"2024-05-21","B-1",NA,2,NA,2,"2","Collected two egg shell samples, banded two nestlings (both male).",2024,142,2,"No",1,123,19,2,3,19,123,19,2,3,0.357804690578417,0.293611648458873
"2024-05-30","B-1",NA,NA,2,NA,"2","Two 28 d.o. fledglings.",2024,151,2,"No",1,123,28,3,3,NA,NA,28,2,3,0.734667864035274,0.743645223170944
"2022-04-23","BAHIA (W)",NA,NA,NA,NA,"0","Checked camera.",2022,113,NA,"No",0,129,-16,1,2,NA,NA,NA,3,1,-1.10777431730936,NA
"2022-06-01","BAHIA (W)",NA,NA,NA,NA,"2","Two lone females.",2022,152,NA,"No",1,129,23,2,2,NA,NA,NA,3,1,0.52529943433702,NA
"2023-04-28","BAHIA (W)",NA,NA,NA,NA,"0","",2023,118,NA,"No",0,125,-7,1,3,NA,NA,NA,3,2,-0.730911143852504,NA
"2023-05-29","BAHIA (W)",NA,NA,NA,NA,"0","",2023,149,NA,"No",0,125,24,2,3,NA,NA,NA,3,2,0.56717312027667,NA
"2023-07-14","BAHIA (W)",NA,NA,NA,NA,"0","",2023,195,NA,"No",0,125,70,3,3,NA,NA,NA,3,2,2.49336267350061,NA
